Hospital_ID,Hospital_Name,State,City,Hospital_Type,Beds,Rating,Contact,Email,Pincode,Accredited
HOS0001,City Hospital 1,Delhi,Delhi,Private,153,4.8,9469318706,h0@hospital.com,796838,Yes
HOS0002,City Hospital 2,Maharashtra,Hyderabad,Government,974,3.8,9768008840,h1@hospital.com,437953,No
HOS0003,City Hospital 3,Tamil Nadu,Pune,Private,745,4.2,9859436473,h2@hospital.com,775573,Yes
HOS0004,City Hospital 4,Tamil Nadu,Hyderabad,Private,238,3.7,9529922522,h3@hospital.com,438792,No
HOS0005,City Hospital 5,Uttar Pradesh,Hyderabad,Government,132,3.2,9198179187,h4@hospital.com,765618,Yes
HOS0006,City Hospital 6,Delhi,Pune,Government,981,3.9,9823376299,h5@hospital.com,224512,No
HOS0007,City Hospital 7,Telangana,Pune,Government,236,4.4,9729856153,h6@hospital.com,234282,Yes
HOS0008,City Hospital 8,Tamil Nadu,Delhi,Private,753,3.5,9542898616,h7@hospital.com,526340,Yes
HOS0009,City Hospital 9,Gujarat,Pune,Private,491,3.2,9600704700,h8@hospital.com,278374,No
HOS0010,City Hospital 10,West Bengal,Delhi,Government,1000,4.2,9611600215,h9@hospital.com,502029,No
HOS0011,City Hospital 11,Telangana,Hyderabad,Government,971,4.7,9987679964,h10@hospital.com,268081,Yes
HOS0012,City Hospital 12,Karnataka,Pune,Private,414,3.5,9935039930,h11@hospital.com,556457,Yes
HOS0013,City Hospital 13,Delhi,Delhi,Government,368,4.5,9347599064,h12@hospital.com,903053,No
HOS0014,City Hospital 14,Telangana,Delhi,Private,326,3.8,9521342813,h13@hospital.com,428132,No
HOS0015,City Hospital 15,Delhi,Hyderabad,Government,817,3.7,9365079106,h14@hospital.com,915866,No
HOS0016,City Hospital 16,Karnataka,Hyderabad,Government,618,3.7,9343359135,h15@hospital.com,746230,Yes
HOS0017,City Hospital 17,Uttar Pradesh,Pune,Government,515,4.3,9882915680,h16@hospital.com,548661,Yes
HOS0018,City Hospital 18,Delhi,Hyderabad,Private,382,4.4,9528234731,h17@hospital.com,807956,Yes
HOS0019,City Hospital 19,Delhi,Delhi,Government,62,3.1,9541555932,h18@hospital.com,996607,No
HOS0020,City Hospital 20,West Bengal,Delhi,Government,929,3.1,9589524783,h19@hospital.com,757098,Yes
HOS0021,City Hospital 21,Uttar Pradesh,Pune,Government,267,4.1,9212120140,h20@hospital.com,971564,No
HOS0022,City Hospital 22,Tamil Nadu,Hyderabad,Private,735,5.0,9941683671,h21@hospital.com,583172,Yes
HOS0023,City Hospital 23,Gujarat,Hyderabad,Private,969,3.9,9866966008,h22@hospital.com,457828,No
HOS0024,City Hospital 24,Uttar Pradesh,Delhi,Government,191,4.6,9796059431,h23@hospital.com,769811,No
HOS0025,City Hospital 25,Tamil Nadu,Delhi,Private,774,3.3,9575355457,h24@hospital.com,692900,Yes
HOS0026,City Hospital 26,Delhi,Delhi,Government,765,4.3,9290821283,h25@hospital.com,705981,Yes
HOS0027,City Hospital 27,Uttar Pradesh,Hyderabad,Government,894,4.8,9754020229,h26@hospital.com,929132,Yes
HOS0028,City Hospital 28,Maharashtra,Delhi,Government,393,3.3,9693774872,h27@hospital.com,788243,Yes
HOS0029,City Hospital 29,Karnataka,Hyderabad,Private,450,4.2,9270863515,h28@hospital.com,403465,No
HOS0030,City Hospital 30,Gujarat,Pune,Government,694,4.5,9100188024,h29@hospital.com,425179,No
HOS0031,City Hospital 31,Telangana,Delhi,Private,906,4.7,9285337580,h30@hospital.com,490611,Yes
HOS0032,City Hospital 32,Karnataka,Delhi,Private,507,4.0,9122288625,h31@hospital.com,959387,No
HOS0033,City Hospital 33,Telangana,Hyderabad,Private,311,4.3,9278260283,h32@hospital.com,981473,Yes
HOS0034,City Hospital 34,West Bengal,Pune,Private,368,3.8,9549098234,h33@hospital.com,389678,No
HOS0035,City Hospital 35,Karnataka,Delhi,Government,898,3.1,9671893666,h34@hospital.com,850600,No
HOS0036,City Hospital 36,West Bengal,Delhi,Private,130,4.3,9237900333,h35@hospital.com,352513,Yes
HOS0037,City Hospital 37,Uttar Pradesh,Delhi,Government,544,4.8,9888861591,h36@hospital.com,578685,No
HOS0038,City Hospital 38,Telangana,Hyderabad,Private,595,4.0,9706776891,h37@hospital.com,357375,No
HOS0039,City Hospital 39,West Bengal,Delhi,Government,378,4.9,9479613757,h38@hospital.com,381923,Yes
HOS0040,City Hospital 40,Maharashtra,Hyderabad,Government,504,3.1,9224177382,h39@hospital.com,503013,Yes
HOS0041,City Hospital 41,West Bengal,Hyderabad,Private,81,4.6,9895475959,h40@hospital.com,397541,Yes
HOS0042,City Hospital 42,Delhi,Hyderabad,Private,254,4.4,9704128999,h41@hospital.com,466341,Yes
HOS0043,City Hospital 43,Uttar Pradesh,Hyderabad,Private,251,3.2,9801480787,h42@hospital.com,941128,No
HOS0044,City Hospital 44,Uttar Pradesh,Delhi,Private,483,4.2,9208217370,h43@hospital.com,359748,Yes
HOS0045,City Hospital 45,Karnataka,Pune,Private,747,4.9,9996697334,h44@hospital.com,327019,No
HOS0046,City Hospital 46,Delhi,Delhi,Private,586,4.8,9773643101,h45@hospital.com,670223,Yes
HOS0047,City Hospital 47,Uttar Pradesh,Delhi,Private,590,3.3,9738763682,h46@hospital.com,232409,No
HOS0048,City Hospital 48,Uttar Pradesh,Delhi,Private,94,4.3,9226362348,h47@hospital.com,108270,No
HOS0049,City Hospital 49,West Bengal,Delhi,Private,693,3.0,9126045874,h48@hospital.com,343748,Yes
HOS0050,City Hospital 50,Karnataka,Pune,Government,989,4.5,9425095831,h49@hospital.com,187119,Yes
HOS0051,City Hospital 51,Uttar Pradesh,Hyderabad,Private,583,4.5,9116318144,h50@hospital.com,407124,Yes
HOS0052,City Hospital 52,Karnataka,Delhi,Government,405,3.4,9578812286,h51@hospital.com,338008,Yes
HOS0053,City Hospital 53,Telangana,Pune,Private,248,3.3,9119073033,h52@hospital.com,753164,Yes
HOS0054,City Hospital 54,Tamil Nadu,Hyderabad,Government,554,3.5,9846720892,h53@hospital.com,144471,No
HOS0055,City Hospital 55,Tamil Nadu,Delhi,Private,627,4.9,9781688765,h54@hospital.com,620570,Yes
HOS0056,City Hospital 56,Uttar Pradesh,Delhi,Government,332,3.8,9751213498,h55@hospital.com,156663,No
HOS0057,City Hospital 57,Delhi,Delhi,Private,566,3.1,9373204547,h56@hospital.com,214151,No
HOS0058,City Hospital 58,Tamil Nadu,Delhi,Private,152,4.2,9283597923,h57@hospital.com,785356,Yes
