Sale_ID,Sale_Date,Product_ID,HCP_ID,Rep_ID,Territory_ID,Quantity,Sales_Amount,Invoice_No,Channel,Discount_Pct,Tax_Amount,Net_Amount,Currency
S0000001,29-09-2025,PRD0226,HCP09336,REP0456,T168,65,8827.21,INV100000,Retail,26.47,2569.49,1777.13,INR
S0000002,17-08-2025,PRD0958,HCP00494,REP0049,T016,70,51387.5,INV100001,Retail,11.44,807.05,123717.23,INR
S0000003,04-02-2025,PRD0564,HCP07826,REP0079,T115,71,194831.85,INV100002,Hospital,21.17,2471.25,111957.47,INR
S0000004,08-03-2025,PRD0960,HCP03917,REP0234,T167,64,2647.18,INV100003,Retail,9.74,1965.44,36719.5,INR
S0000005,13-10-2025,PRD0511,HCP04337,REP0335,T063,43,95753.97,INV100004,Hospital,13.22,3646.86,113030,INR
S0000006,02-08-2025,PRD0396,HCP04607,REP0242,T028,68,41255.09,INV100005,Hospital,20.94,2441.11,111472.54,INR
S0000007,19-02-2025,PRD0663,HCP04839,REP0162,T099,75,36643.16,INV100006,Retail,0.92,4212.9,136824.06,INR
S0000008,28-12-2025,PRD0464,HCP01229,REP0306,T146,25,108305.61,INV100007,Hospital,0.19,1279.94,66059.58,INR
S0000009,16-12-2025,PRD1000,HCP04521,REP0009,T160,44,121644.53,INV100008,Retail,6.22,3941.39,66764.36,INR
S0000010,23-05-2025,PRD0380,HCP01234,REP0419,T064,22,199382.53,INV100009,Hospital,9.17,4566.76,199404.53,INR
S0000011,22-03-2025,PRD0497,HCP07728,REP0236,T188,73,60408.97,INV100010,Retail,11.34,4198.25,19474.88,INR
S0000012,01-03-2025,PRD0763,HCP05109,REP0083,T052,70,165402.5,INV100011,Retail,9.83,2083.82,53110.67,INR
S0000013,25-03-2025,PRD0265,HCP07392,REP0319,T126,100,44912.13,INV100012,Hospital,3.72,3530.66,19023.84,INR
S0000014,10-04-2025,PRD0101,HCP07876,REP0441,T167,100,74503.19,INV100013,Distributor,2.64,3167.28,63890.15,INR
S0000015,19-01-2025,PRD0969,HCP08066,REP0049,T091,72,196069.99,INV100014,Retail,7.64,806.14,78692.06,INR
S0000016,06-05-2025,PRD0865,HCP04688,REP0371,T057,18,52102.76,INV100015,Retail,28.64,4279.74,159922.05,INR
S0000017,13-01-2025,PRD0554,HCP04242,REP0167,T145,2,179119.5,INV100016,Hospital,18.93,873.84,140598.44,INR
S0000018,30-07-2025,PRD0882,HCP05931,REP0021,T067,53,97435.38,INV100017,Distributor,29.09,1322.41,187929.05,INR
S0000019,03-04-2025,PRD0328,HCP03865,REP0058,T109,80,89952.87,INV100018,Hospital,13.28,2702.46,42225.29,INR
S0000020,09-02-2025,PRD0921,HCP04478,REP0275,T010,35,58724.29,INV100019,Hospital,14.99,1396.65,170738.44,INR
S0000021,27-09-2025,PRD0230,HCP03018,REP0084,T071,86,152737.45,INV100020,Distributor,9.83,3764.72,14047.23,INR
S0000022,29-10-2025,PRD0781,HCP03331,REP0305,T020,41,51274.88,INV100021,Retail,24.68,709.2,145533.8,INR
S0000023,11-09-2025,PRD0405,HCP01646,REP0049,T064,86,181716.86,INV100022,Distributor,2.55,1151.94,190102.18,INR
S0000024,04-08-2025,PRD0682,HCP02622,REP0131,T134,10,88638.78,INV100023,Retail,21.86,2296.97,142189.86,INR
S0000025,04-12-2025,PRD0195,HCP07003,REP0496,T196,54,12458.93,INV100024,Retail,21.26,3000.69,11497.29,INR
